term,original_sentence,refined_sentence,sentiment
해양투기,"""후쿠시마 오염수 해양투기 반대"" 외치는 어민들 | 12일 오후 서울 영등포구 국회의사당 인근에서 전국어민회총연맹과 일본 방사성 오염수 해양투기 저지 공동행동이 연 '후..","""후쿠시마 오염수 해양투기 반대"" 외치는 어민들",negative
생물학적산소요구량,"#1 평택시 소재 A 폐수수탁처리업체는 처리된 폐수에서 COD(생물학적산소요구량) 기준치의 4.1배가 넘는 오염물질이 검출(542㎎/ℓ), 개선명령처분과 초과배출부과금 제재를 받았다.",#1 평택시 소재 A 폐수수탁처리업체는 처리된 폐수에서 생물학적산소요구량(COD) 기준치의 4.1배가 넘는 오염물질이 검출되어 개선명령처분과 초과배출부과금 제재를 받았다.,neutral
대기오염원,(청장 송호석)은 고농도 미세먼지가 빈번하게 발생하는 겨울철 대기오염원 관리를 강화하기 위해 제5차 미세먼지 계절관리제를 시행한다고 30일 밝혔다.,(청장 송호석)은 고농도 미세먼지가 빈번하게 발생하는 겨울철 대기오염원 관리를 강화하기 위해 제5차 미세먼지 계절관리제를 시행한다고 30일 밝혔다.,neutral
VS,"[THE 300]
尹 ""10분이면 담판"" VS..",[THE 300]尹은 '10분이면 담판'이라고 말하며 VS를 통해 의견을 대립시켰다.,neutral
기상위성,"[국가기상위성센터=환경일보] 2010년 6월 천리안위성 1호를 발사하면서 세계 7번째 독자 기상위성 보유국이 된 우리나라가, 올해 말 천리안위성 2호를 발사하면서 일본, 미국에 이어 3번째 정지궤도 차세대 기상센서 보유국이 된다.","[국가기상위성센터=환경일보] 2010년 6월 천리안위성 1호를 발사하면서 세계 7번째 독자 기상위성 보유국이 된 우리나라가, 올해 말 천리안위성 2호를 발사하면서 일본, 미국에 이어 3번째 정지궤도 차세대 기상센서 보유국이 된다.",positive
해양배출,[보령] 보령해양경비안전서(서장 조석태)는 어선에서 발생하는 선저폐수의 불법적인 해양배출을 줄이고 적법한 육상처리를 통해 깨끗한 해양환경 조성을 위한 캠페인을 이달 30일까지 실시한다.,[보령] 보령해양경비안전서(서장 조석태)는 어선에서 발생하는 선저폐수의 불법적인 해양배출을 줄이기 위한 캠페인을 이달 30일까지 실시한다.,negative
부유물질,[사이언스라운지] 실내 청소 후 발생하는 부유물질로 인한 실내 공기 오염이 대도시의 공기 오염과 비슷한 수준이라는 연구 결과가 나왔다.,[사이언스라운지] 실내 청소 후 발생하는 부유물질로 인한 실내 공기 오염이 대도시의 공기 오염과 비슷한 수준이라는 연구 결과가 나왔다.,negative
일산화탄소,[사진=KAIST]국내 연구진이 초미세먼지를 유발하는 일산화탄소를 이용해 수소저장체로 주목 받기 시작한 암모니아를 ..,[사진=KAIST]국내 연구진이 초미세먼지를 유발하는 일산화탄소를 이용해 수소저장체로 주목 받기 시작한 암모니아를 연구하고 있다.,neutral
VS,"‘338개 VS 3000개’, ‘2억원 VS 6만원’, ‘원거리 VS 근거리’ 전국에 깔려 있는 기상청의 지진관측소와 SK텔레콤이 기지국에 설치 중인 지진감지센서를 비교한 수치다.","‘338개 VS 3000개’, ‘2억원 VS 6만원’, ‘원거리 VS 근거리’는 기상청의 지진관측소와 SK텔레콤의 지진감지센서의 수치와 성능 차이를 보여준다.",neutral
액화석유가스,"‘가스열펌프(GHP, Gas Heat Pump)’는 전기모터 대신 액화천연가스(LNG) 또는 액화석유가스(LPG)를 연료로 사용하는 냉난방기기다..","‘가스열펌프(GHP, Gas Heat Pump)’는 액화석유가스를 연료로 사용하는 냉난방기기다.",neutral
