term,refined_sentence,sentiment
1단계,전남글로컬직업高 설립도 팔걷어 1단계로 직업계高에 유학생 유치,neutral
1단계,부산항만공사(BPA)는 북항 1단계 재개발사업지 내 지하 누수 방지를 위한 설계 및 시공 가이드라인 수립용역을 추진한다고 밝혔다.,neutral
1단계,"이성해 국가철도공단 이사장은 충청권 광역철도 1단계(계룡~신탄진) 현장을 방문하여 사업 추진현황을 점검하며, 사업을 조속히 추진하겠다고 밝혔다.",neutral
1단계,"경남도와 창원특례시, 부산진해경제자유구역청이 부산항 신항 서컨 배후단지(1단계)에 스마트물류센터 설립 투자협약을 체결했다.",neutral
1단계,올해 하반기에 '서부로(석곡-죽림) 확장공사(1단계)'를 포함해 총 2.73km의 도로공사 현장 4곳이 개통을 앞두고 있어 시민편익이 증진될 것으로 기대된다.,neutral
1단계,부산항 북항재개발 1단계 사업의 핵심 구역인 랜드마크부지 민간사업자 공모 본입찰이 최근 유찰되면서 개발 향방에 관심이 높아지고 있다.,neutral
1차 접종,돼지열병 백신접종 프로그램은 40일령에 1차 접종하는 것이 일반적이다.,neutral
2단계,유통단계 3단계 → 1~2단계로 농수산물 온라인 플랫폼 확대 운영으로 농가수취 가격이 4.1% 상승하고 출하 도매 비용이 7.4% 절감되어 FTA 경쟁력과 농업 고도화에 기여하고 있다.,neutral
2단계,가계는 스트레스 DSR 2단계 적용 등 관리기조가 이어질 듯하다.,neutral
2단계,국가철도공단이 지난 22일 호남고속철도 2단계 4공구 건설현장인 무안공항역에서 '2024 재난대응 안전한국훈련'을 성공적으로 마쳤다.,neutral
2단계,광주 도시철도 2단계 공사에 사용될 복공판에 대해 부적격 지적이 제기되자 HDC현대산업개발은 품질 기준 미달 이유로 기존 낙찰 제품 대신 다른 제품으로 교체를 추진하고 있다.,neutral
2단계,2단계 케이블카 조성 신청이 마지막 허가 절차를 밟고 있다.,neutral
2단계,숏폼 업고 1년만에 2단계 껑충하는 성과를 거두며 인스타그램이 1분기 인스타 앱 실행횟수 2위에 올랐다.,positive
2단계,지난 9월 스트레스 총부채원리금상환비율(DSR) 2단계 등 가계부채 억제를 위한 대출 규제가 시행되었다.,neutral
2차 접종,돼지열병 백신접종 프로그램은 60일령에 2차 접종을 실시한다.,neutral
2차 피해,SK텔레콤 사내 시스템 해킹으로 유심 관련 일부 정보 유출 정황이 포착되어 2차 피해 우려가 커지고 있다.,negative
2차 피해,"‘내 개인정보는 물론, 지인 2차 피해까지’ 좀비폰 만드는 미끼 문자 주의!",negative
2차 피해,이민근 안산시장은 성곡동 화재 현장을 긴급 점검하고 2차 피해 방지를 위해 주변 도로 통제 등을 주문했다고 22일 밝혔다.,negative
2차 피해,폐의약품을 일반 쓰레기나 하수구에 버릴 경우 2차 피해를 유발할 수 있어 주의가 필요하다.,negative
2차 피해,"전 세계를 강타한 마이크로소프트(MS)발 IT 대란이 채 안정화되기도 전에 이를 악용한 피싱 사이트와 악성코드, 음란 게시물이 대거 등장하면서 2차 피해 우려가 제기되고 있다.",negative
2차 피해,숙박비 등 2차 피해 실질적 구제는 어려울 수도,negative
2차 피해,"19일 오후 11시 악성코드와 고객 유심 관련 일부 정보 유출로 인해 2차 피해 우려가 제기되고 있으며, 피해 원인과 규모를 확인 중이다.",negative
2차피해,경찰 관계자는 2차피해 우려가 있어 구체적인 내용은 밝힐 수 없다고 밝혔다.,negative
30세 미만,"더불어민주당 정일영 의원이 유가증권시장 시가총액 상위 10대 기업의 자율 공시 보고서를 분석한 결과, 30세 미만 채용이 2021년 2월 기준으로 일부 기업에서 공개되지 않았다.",neutral
3기 신도시,한국토지주택공사(LH)가 내년까지 3기 신도시 부지조성공사 착공을 모두 마무리하겠다는 목표를 내걸었다.,neutral
3기 신도시,"한국토지주택공사(LH)는 올해 3기 신도시인 남양주왕숙, 남양주왕숙2, 부천대장, 인천계양 등 4개 지구를 대상으로 부지조성공사를 착공할 계획이라고 밝혔다.",neutral
