term,original_sentence,refined_sentence,sentiment
가건물,"박용국(65) 씨는 ""비료랑 농작물, 기계가 있던 가건물 피해가 가장 크다""며 ""무허가 건물이라 복구 지원을 못 받을 수 있다는 이야기를 들어 마음이 놓이지 않는다""고 말했다.",박용국(65) 씨는 무허가 건물인 가건물 피해가 가장 크다며 복구 지원을 받기 어려울까 걱정이라고 말했다.,negative
가건물,삽이며 밀대 같은 연장들이 걸려 있는 작업용 가건물은 오랫동안 사람의 손길이 닿지 않은 것처럼 보였다.,작업용 가건물은 오랫동안 사람의 손길이 닿지 않은 것처럼 보였다.,neutral
가계약,이를 위해 자국 조선사 CSBC와 HD현대삼호와 가계약을 체결했다.,이를 위해 자국 조선사 CSBC와 HD현대삼호와 가계약을 체결했다.,neutral
가계약,앞서 매수 희망자는 가계약..,앞서 매수 희망자는 가계약을 체결하였다.,neutral
가계정,"당장에 가계정 처리가 필요하다면 상여금 지급, 급여 인상, 배당 등의 방법을 활용할 수 있다.","당장에 가계정 처리가 필요하다면 상여금 지급, 급여 인상, 배당 등의 방법을 활용할 수 있다.",neutral
가도,다음날 오전 11시에 열린 기자회견에서 시장과 소방서장은 진행 중인 산불에 대비는 하되 일상생활을 이어 가도 좋다고 시민들을 안심시켰다.,다음날 오전 11시에 열린 기자회견에서 시장과 소방서장은 진행 중인 산불에 대비는 하되 일상생활을 이어 가도 좋다고 시민들을 안심시켰다.,positive
가도,"노물리 주민들은 ""마을에 가도 물도 전기도 안들어오고 온통 잿더미 밖에 없으니 뭐하나 할 수가 없다""면서 ""방에 누워만 있다. 누워 있으면 눈물만 나온다""고 토로했다.",노물리 주민들은 가도 마을에 가도 물도 전기도 안들어오고 잿더미뿐이라 할 일이 없다고 토로했다.,neutral
가도,이 대표의 대권 가도의 유일한 걸림돌이던 '사법 리스크'를 정리한 탓으로 보인다.,이 대표의 대권 가도의 유일한 걸림돌이던 '사법 리스크'를 정리한 탓으로 보인다.,neutral
가도,이런 와중에 지난 26일 이재명 민주당 대표는 자신의 대권 가도에서 가장 발목을 잡았던 사법리스크를 어느 정도 희석시켰다.,이재명 민주당 대표는 자신의 대권 가도에서 가장 발목을 잡았던 사법리스크를 어느 정도 희석시켰다.,neutral
가도,"그는 ""모든 여건이 산불을 완전히 진화 하기에 적합한 여건""이라며 ""산림청과 상의하니 이날 해가 지기 전까지 주불 진화가 될 거라고 한다. 오늘 집에 가도 된다""라고 말했다.",그는 오늘 집에 가도 된다고 말했다.,neutral
가도,윤석열 대통령 탄핵심판 선고 지연으로 이미 행동반경이 제한된 상황에서 이 대표의 대선 가도에 청신호가 들어와 여권 잠룡들의 입지는 더욱 위축될 전망입니다.,이 대표의 대선 가도에 청신호가 들어와 여권 잠룡들의 입지는 더욱 위축될 전망입니다.,neutral
가도,"국민의힘은 그동안 탄핵 정국에서 이재명 더불어민주당 대표의 사법 리스크 부각을 핵심 전략으로 삼아왔는데, 이 대표가 공직선거법 위반 사건 항소심에서 무죄를 선고 받으면서 일단은 대권 가도에 영향을 미칠 가장 큰 사법 리스크는 줄어들었다는 판단 때문이다.",이 대표가 공직선거법 위반 사건 항소심에서 무죄를 선고 받으면서 대권 가도에 영향을 미칠 가장 큰 사법 리스크는 줄어들었다는 판단 때문이다.,neutral
가도,"조기대선 치러져도 경선 나설지 말지 고심 비명계 잠룡들 겉으로는 ""사필귀정"" 등 언급하며 환영 2심 무죄로 너무 커진 李 존재감에 활동 공간 없어져 대형 산불 국면서 주목받는 李 할 일 없는 잠룡들 대법 판단 남았지만 지지층 눈치에 공격은 자제 비명측 ""'李 흠집내기' 시선 우려 대선에 고심 깊어 더불어민주당 이재명 대표의 공직선거법 위반 혐의 2심 무죄 판결에 민주당 비명(비이재명)계 대권 잠룡들의 표정 관리가 쉽지 않다. 같은 당원으로서는 반겨야 할 소식이지만, 대권 가도가 막막해졌기 때문이다. 李 '1극체제' 질문에 답 피한 김동연 비명 잠룡들 '잠행' 김동연 경기도지사는 27일 이 대표의 2심 판결에 대해 ""사필귀정이라고 생각한다""며 ""검찰의 무리한 기소가 이제라도 바로잡히게 돼 다행이라고 생각한다""고 밝혔다. 이날 경기도 수원 광교중앙역에서 진행한 헌법재판소의 윤석열 대통령 탄핵심판 결정 촉구 1인 시위 중 이 대표와 관련한 취재진의 질문에 대한 답변이었다. 다만 취재진은 '이 대표 '1극체제'가 공고해질 수 있다는데 대해 어떻게 생각하느냐'고 질문했는데, 김 지사는 이에 답을 하지 않은 채 ""지금의 대한민국의 어려움과 경제 재건을 위해서는 윤석열 대통령의 탄핵 인용이 빠른 시간에 나는 것이 가장 급선무이고 중요한 일""이라고만 강조했다. 김 지사는 전날인 26일에도 ""사필귀정.",대권 가도가 막막해졌기 때문이다.,neutral
가도,왜냐하면 그 도로가 막힌 상황에서 불길이 왔다면 그건 오도 가도 못하는 상황이 오기 때문에 그래서 급박한 상황이었는데 다행히도 시내까지 불길이 번지지 않아서 그 부분은 큰 다행이라고 생각하고 있습니다.,그 도로가 막힌 상황에서 불길이 왔다면 그건 오도 가도 못하는 상황이 오기 때문에 급박한 상황이었는데 다행히도 시내까지 불길이 번지지 않아서 큰 다행이라고 생각하고 있습니다.,neutral
가도,동구남구갑 윤영덕 재선 가도에 쟁쟁한 경쟁자 등장 윤영덕 민주당 의원이 재선 도전에 나선 가운데 당내 후보들의 도전이 거세다.,동구남구갑 윤영덕 재선 가도에 쟁쟁한 경쟁자 등장 윤영덕 민주당 의원이 재선 도전에 나선 가운데 당내 후보들의 도전이 거세다.,neutral
가도,기사내용 요약 행정관료 지방의회 전문가 등 출사표 민주당 경선 구도 4명으로 압축될 듯 무소속 김선일 전 교수도 출마 뜻 밝혀    6 1지방선거 전남 강진군수 선거는 현직 군수의 재선 가도에 전 군수와 행정관료 등이 도전장을 내밀어 치열한 경합이 예상된다.,6·1지방선거 전남 강진군수 선거는 현직 군수의 재선 가도에 전 군수와 행정관료 등이 도전장을 내밀어 치열한 경합이 예상된다.,neutral
가도,이처럼 생태가 경제를 견인한다는 기존의 판을 바꾼 발상의 전환으로 성공 가도를 달리고 있는 순천만국제정원박람회 흥행 효과가 도심 상권까지 이어져 지역 경제에 활력을 불어 넣고 있다.,이처럼 생태가 경제를 견인한다는 기존의 판을 바꾼 발상의 전환으로 성공 가도를 달리고 있는 순천만국제정원박람회 흥행 효과가 도심 상권까지 이어져 지역 경제에 활력을 불어 넣고 있다.,positive
가도,"민간 병원이 부족한 지방에서 아프면, 공공 의료기관에 가도 충분한 의료 서비스를 받을 수 없다는 뜻이다.","아프면, 공공 의료기관에 가도 충분한 의료 서비스를 받을 수 없다는 뜻이다.",neutral
가도,어딜 가도 인파라고는 볼 수가 없다.,어딜 가도 인파라고는 볼 수가 없다.,neutral
가도,"박완수  저희들이 홍수 수위도 현장에 안 가도 도청 재난상황실에서 바로바로 실시간으로 수위를 확인할 수가 있고 또 재난우려지라든지 하천 부분들 또 도로, 지하도 이런 부분들을 실시간으로 저희들이 볼 수 있는 CCTV 시스템을 가지고 있기 때문에 저희들이 비가 많이 오거나 집중호우가 올 때는 그 지역의 현황을 현장에 안 가고도 확인할 수 있는 그런 시스템을 만들어서 활용하고 있습니다.","저희들은 가도 시스템을 활용하여 비가 많이 오거나 집중호우가 올 때 현장에 가지 않고도 실시간으로 수위와 하천, 도로, 지하도 등의 상황을 확인할 수 있습니다.",neutral
가도,"승한 군은 ""야구는 해도 재밌고, 봐도 재밌고, 그냥 내 옆에 계속 남아있는 친구 같은 존재""라며 ""'쟤는 어딜 가도 잘 던지는 선수야'라는 말을 듣고 싶다""고 다짐했다.","승한 군은 '야구는 해도 재밌고, 봐도 재밌고, 그냥 내 옆에 계속 남아있는 친구 같은 존재'라며 '쟤는 어딜 가도 잘 던지는 선수야'라는 말을 듣고 싶다고 다짐했다.",positive
가도,"현행 선거제 그대로 가도 내년에 2명 중 한 분이 교체되니, 마음을 비우고 선거제를 개혁해보자고 말씀드린다.","현행 선거제 그대로 가도 내년에 2명 중 한 분이 교체되니, 마음을 비우고 선거제를 개혁해보자고 말씀드린다.",neutral
가도,"전남 지역의 한 대학 총장은 ""점심시간에 학생식당을 가도 텅텅 비어있다""며 ""1000원이 아니라 100원이라고 해도 오는 학생이 많지 않을 것""이라고 말했다.",전남 지역의 한 대학 총장은 점심시간에 학생식당을 가도 텅텅 비어있다고 말했다.,neutral
가도,"'아, 가도 가도 (뱃길) 끝이 없구만.'","아, 가도 가도 끝이 없구만.",neutral
가도,그래서 광주 예를 들어 보면 저는 대부분 산업이나 기업 또는 정부에서 뭐라고 하냐 하면 지역에 가도 인재가 없다.,"광주를 예로 들면, 산업이나 기업, 정부에서는 지역에 가도 인재가 없다고 말한다.",neutral
가도,비수기인 지금 가도 만족도가 높은 이유다.,비수기인 지금 가도 만족도가 높은 이유다.,positive
가도,지난 2020년 건립한 솔라시도 태양광발전단지(48만평 98㎽)는 국내 최대 태양광발전소 규모인 만큼 가도 가도 늘어선 패널들이 끝도 없이 펼쳐져 있었다.,가도 가도 늘어선 패널들이 끝도 없이 펼쳐져 있었다.,neutral
가도,"기획은    한국 지속가능성 위협 '골든타임' 끝나간다  ""요양원에서 동창회 할 수도"" 문 닫는 학교들  짐싸는 청년들 ""모로 가도 수도권으로""  지자체들 '고군분투'중앙정부는 '팔짱'의 순으로 구성됐다   국내 인구 문제를 얘기할 때면 '역대'라는 수식어가 거의 빠짐",짐싸는 청년들 '모로 가도 수도권으로'라는 구호처럼 수도권으로 향하는 현상이 계속되고 있다.,neutral
가도,"이훈 교수는 ""복붙(복사하고 갖다 붙이기)하듯, 성공사례를 바탕으로 하는 관광정책은 겉핥기 검증에 그치는 경우가 많다""며 ""지자체들이 '잘 되더라, 우리도 해보자'는 식으로 추진하면 성공 가도를 달리는 다른 지자체 관광시설의 매력도를 덩달아 떨어뜨리게 될 것""이라고 말했다.","이훈 교수는 '잘 되더라, 우리도 해보자'는 식으로 추진하면 성공 가도를 달리는 다른 지자체 관광시설의 매력도를 떨어뜨릴 수 있다고 말했다.",neutral
가도,"이렇듯 광고업계에서 성공 가도를 달렸지만, 김 대표는 어딘가 공허함을 느꼈다.","이렇듯 광고업계에서 성공 가도를 달렸지만, 김 대표는 어딘가 공허함을 느꼈다.",neutral
가도,김 당선인은 앞선 여론조사 추이상 재선 가도에 무리가 없을 것이라는 평가를 받았지만 민주당이 전국적으로 열세를 겪는 상황에서 앞도적인 지지율로 자신의 정치력을 증명해야 하는 상황이었다.,김 당선인은 앞선 여론조사 추이상 재선 가도에 무리가 없을 것이라는 평가를 받았지만 민주당이 전국적으로 열세를 겪는 상황에서 앞도적인 지지율로 자신의 정치력을 증명해야 하는 상황이었다.,neutral
가도,"단순히 나는 한참 이긴다니까 나는 투표하러 안 가도 되겠다, 그렇게 현장에서 마음이 해이해진 것인지 거기에 또 민주당에서는 이재명 후보가 나와서 지금 3표가 부족합니다.","나는 투표하러 안 가도 되겠다며 마음이 해이해진 것인지, 민주당에서는 이재명 후보가 나와서 3표가 부족합니다.",neutral
가설,하고 하는데 이 가설 흙막이가 이렇게 이제 밀리면서 거기에 따른 이 침하로 이렇게 전문가들께서 조사했고요.,이 가설 흙막이가 밀리면서 침하가 발생한다는 전문가들의 조사가 이루어졌다.,neutral
가설,그래서 이 부분은 지금 다 완료된 상태로 현재 시행사에서 가설 흙막이 보강 공사를 해서 아파트 공사를 정상적으로 지금 하고 있습니다.,현재 시행사에서 가설 흙막이 보강 공사를 완료하여 아파트 공사를 정상적으로 진행하고 있습니다.,neutral
가설,"이어 ""아직 용도변경이나 부지개발계획이 확정되지도 않은 상태에서 발생하지도 않은 이익을 가설로 삼아 특혜를 주장하는 것 등은 말도 안된다""고 지적했다.",이어 '아직 용도변경이나 부지개발계획이 확정되지도 않은 상태에서 발생하지도 않은 이익을 가설로 삼아 특혜를 주장하는 것 등은 말도 안된다'고 지적했다.,neutral
가설,2015년 청년층에게 무슨 일이 일어났을까 전문가들이 내놓는 대체적인 '가설'에 따르면 이 시점을 전후로 한국의 산업구조 변동에 따른 일자리 변화가 일어났다.,전문가들이 내놓는 대체적인 '가설'에 따르면 이 시점을 전후로 한국의 산업구조 변동에 따른 일자리 변화가 일어났다.,neutral
가압,투명교정 장치가 제작되는 원리는 모형에 가열 및 진공 가압 방식으로 시트를 찍어내..,투명교정 장치가 제작되는 원리는 모형에 가열 및 진공 가압 방식으로 시트를 찍어내는 것이다.,neutral
가압,이를 위해 상황실에서 직원 45명은 24시간 돌아가며 지역 내 상수관 망과 가압..,이를 위해 상황실에서 직원 45명은 24시간 돌아가며 지역 내 상수관 망과 가압 시스템을 점검하고 있다.,neutral
가압류,인터파크커머스는 입장문에서 “최근 일부 채권자의 가압류 등 조치..,인터파크커머스는 입장문에서 최근 일부 채권자의 가압류 등 조치에 대해 언급하였다.,negative
가압류,1위에는 징수과의 허성은 주무관이 추진한 ‘경북 최초 가압류 취소를 통한 체납세 징수’로 세수 증대에 기여한 사례가 선정됐다.,1위에는 징수과의 허성은 주무관이 추진한 ‘경북 최초 가압류 취소를 통한 체납세 징수’로 세수 증대에 기여한 사례가 선정됐다.,neutral
가압류,체납세 징수 심층 분석과 법률적 검토가 필요한 채권추심법 적용으로 체납자의 법원 공탁금 담보 취소와 가압류 취소 판결로 2억원의 법원 공탁금을 받아냈다.,체납세 징수 심층 분석과 법률적 검토가 필요한 채권추심법 적용으로 가압류 취소 판결을 받아 2억원의 법원 공탁금을 회수하였다.,neutral
가압류,"그동안은 세금 완납을 증명하고, 가등기 가압류 등의 권리관계까지 모두 말소해야 토지보상금을 받을 수 있어 토지보상 ..","그동안은 세금 완납을 증명하고, 가등기 가압류 등의 권리관계까지 모두 말소해야 토지보상금을 받을 수 있어 토지보상에 어려움이 있었다.",negative
가압류,전직 대통령 고 전두환씨 손자 전우원씨가 새어머니인 박상아씨로부터 주식을 가압류 당하자 전씨 친모가 직접 나서 도움을 청했다.,전직 대통령 고 전두환씨 손자 전우원씨가 새어머니인 박상아씨로부터 가압류를 당하자 전씨 친모가 도움을 청했다.,negative
가압류,서울서부지법 민사51단독 박인식 판사는 새어머니 박상아씨가 우원씨를 상대로 낸 웨어밸리 주식 가압류 신청을 지난달 17일 인용했다.,서울서부지법 민사51단독 박인식 판사는 새어머니 박상아씨가 우원씨를 상대로 낸 웨어밸리 주식 가압류 신청을 지난달 17일 인용했다.,neutral
가압류,"법원의 가압류 조치에 따라, 우원씨는 본..","법원의 가압류 조치에 따라, 우원씨는 본 권리 행사를 제한받게 되었다.",neutral
가압류,"우원 씨의 친모 최정애 씨는 박 씨의 '웨어밸리' 주식 4억 8,232만 원 가압류 신청으로 전 씨가 스트레스를 받고 있다고 전했다.","우원 씨의 친모 최정애 씨는 박 씨의 '웨어밸리' 주식 4억 8,232만 원 가압류 신청으로 전 씨가 스트레스를 받고 있다고 전했다.",negative
가압류,"이 글은 가압류 사실이 전해진 지난 7일 올라온 것으로 현재는 삭제된 상태다. 
..",이 글은 가압류 사실이 전해진 지난 7일 올라온 것으로 현재는 삭제된 상태다.,neutral
가압류,전주시로부터 위탁받아 운영한 식당이 경영악화로 빚을 남기면서 재산 가압류 급식 납품 거부 등 연쇄적인 운영 악화를 일으켰는데..,전주시로부터 위탁받아 운영한 식당이 경영악화로 인해 가압류를 당하면서 재산 가압류 급식 납품 거부 등 연쇄적인 운영 악화를 일으켰다.,negative
가압류,"전씨는 7일 유튜브 라이브 방송에서 박씨의 가압류 신청이 법원에서 받아들여진 데 대해 “저는 외가 쪽, 친가 쪽, 제 친형 등 모든 분과 연락이 끊겼기 때문에 그분들이..",전씨는 7일 유튜브 라이브 방송에서 박씨의 가압류 신청이 법원에서 받아들여진 데 대해 언급했다.,neutral
가압류,"""친구가 돈을 빌려 갔는데 차용증을 쓰지 않고 잠수를 탔어요. 소송과 가압류 중 어떤 일부터 해야 할까요?""",친구가 돈을 빌려 갔는데 차용증을 쓰지 않고 잠수를 탔어요. 소송과 가압류 중 어떤 일부터 해야 할까요?,neutral
가압류,"""가압류 신청을 먼저 하는 것이 좋다""는 결론과 함께 10문장가량의 설명이 더해졌다.",가압류 신청을 먼저 하는 것이 좋다.,neutral
가압류,입주 일자에 맞춰 해당세대 등기조회를 했고 그 결과 가압류가 된 사실을 확인했다.,입주 일자에 맞춰 해당세대 등기조회를 했고 그 결과 가압류가 된 사실을 확인했다.,negative
가압류,"아울러 전세를 계획하고 있었던 다른 세대 역시 가압류 사실을 확인, 결국 그 계약은 무산됐다.",아울러 전세를 계획하고 있었던 다른 세대 역시 가압류 사실을 확인하여 계약이 무산됐다.,negative
가압류,A씨는 최근까지도 가압류 관련 상황을 전혀 알지 못했다.,A씨는 최근까지도 가압류 관련 상황을 전혀 알지 못했다.,neutral
가압류,"권리 분석을 위해 등기부를 확인해 보니 1순위 근저당권, 2순위 가압류, 3순위 압류, 4순위 경매개시결정(임의경매) 순이었다.",권리 분석을 위해 등기부를 확인해 보니 2순위 가압류가 있었다.,neutral
가용 자원,"이미라 산림청 차장은 ""동해안 중심으로 산불 위험이 커진 상황으로 관계기관과 긴밀한 협조체계를 유지하고 가용 자원을 총동원해 산불 예방과 대응에 최선을 다하겠다""고 밝혔다.",이미라 산림청 차장은 동해안 중심으로 산불 위험이 커진 상황에서 가용 자원을 총동원해 산불 예방과 대응에 최선을 다하겠다고 밝혔다.,positive
가용 자원,현재 군은 가용 자원을 총동원해 산불 예방 활동에 나섰다.,현재 군은 가용 자원을 총동원해 산불 예방 활동에 나섰다.,neutral
가용 자원,경북도는 오늘 진화 헬기와 군부대와 공무원 등 가용 자원을 대거 투입해 진화 작업에 힘쓰겠다는 계획입니다.,경북도는 오늘 진화 헬기와 군부대와 공무원 등 가용 자원을 대거 투입해 진화 작업에 힘쓰겠다는 계획입니다.,neutral
가용 자원,"박일하 동작구청장은 ""모든 지자체가 구호와 산불 피해 복구 지원에 힘을 모아야 할 때""라며 ""동작구도 인력, 물품, 성금 등 가용 자원을 모두 동원해 피해지역 지원에 총력을 기울일 것""이라고 말했다.","동작구도 인력, 물품, 성금 등 가용 자원을 모두 동원해 피해지역 지원에 총력을 기울일 것이라고 말했다.",positive
가용 자원,"청송, 영덕 등 산불 추가 확산지역의 통신 복구를 위해 가용 자원을 집중 투입하고 있다.","청송, 영덕 등 산불 추가 확산지역의 통신 복구를 위해 가용 자원을 집중 투입하고 있다.",neutral
가용 자원,"이강덕 시장은 ""모든 산불이 진화될 때까지 긴장을 늦추지 말고 모든 가용 자원을 동원해 역량을 집중해 줄 것""을 당부했다.",이강덕 시장은 모든 산불이 진화될 때까지 긴장을 늦추지 말고 모든 가용 자원을 동원해 역량을 집중해 줄 것을 당부했다.,positive
가용 자원,"한경협 관계자는 ""경제계가 하나 된 마음으로 업의 특성과 가용 자원을 활용한 맞춤형 지원에 나서고 있다""며 ""경제계의 손길이 피해지역 주민들에게 조금이나마 희망이 되기를 바란다""고 했다.",한경협 관계자는 경제계가 가용 자원을 활용한 맞춤형 지원에 나서고 있다고 말했다.,positive
가용 자원,경북도는 오늘 진화 헬기와 군부대와 공무원 등 가용 자원을 대거 투입해 진화 작업에 힘쓰겠다는 계획입니다.,경북도는 오늘 진화 헬기와 군부대와 공무원 등 가용 자원을 대거 투입해 진화 작업에 힘쓰겠다는 계획입니다.,neutral
가용 자원,안동 우편집중국을 방문해 현장에 상주 중인 방송통신재난대응본부 현장지원반의 운영 현황과 우체국의 가용 자원 등을 점검했다.,안동 우편집중국을 방문하여 우체국의 가용 자원 등을 점검했다.,neutral
가용 자원,"이철우 경북지사는 ""가장 시급한 것이 이재민들의 주거 안정""이라며 ""모든 가용 자원을 동원해 신속하게 지원하겠다""고 밝혔다.",이철우 경북지사는 모든 가용 자원을 동원해 이재민들의 주거 안정에 신속히 지원하겠다고 밝혔다.,positive
가용 자원,소방 당국은 날이 밝은만큼 가용 자원을 모두 동원해 주불을 잡는다는 계획입니다.,소방 당국은 날이 밝은만큼 가용 자원을 모두 동원해 주불을 잡는다는 계획입니다.,neutral
가용 자원,"안도걸 의원은 ""산불 사태와 관련한 예산이 부족해 제대로 대응할 수 없다는 얘기가 있는데 쓸데없는 국민 불안을 (일으키고) 정쟁하는 것은 바람직하지 않다""며 ""재해 등 (목적이 정해진) 목적 예비비는 1조6000억원, 개별 부처별 재해대책비, 지방자치단체별 가용 자원 등이 있다""고 했다.",안도걸 의원은 재해대책에 활용 가능한 가용 자원들이 있다고 밝혔다.,neutral
가용 자원,"28일 오전 열린 산불 대응 긴급 회의는 산불 피해 일부 지역에 비가 내리고, 습도가 높아져 진화의 골든 타임으로, 시도 긴급 투입이 가능한 가용 자원 파악과 긴급 동원 계획을 점검했다.",28일 오전 열린 산불 대응 긴급 회의에서는 가용 자원을 파악하고 긴급 동원 계획을 점검했다.,positive
가용 자원,"과기정통부 2차관은 26일 안동 지역 현장 방문을 통해 통신망 점검 및 복구를 지휘했고, 청송, 영덕 등 산불 추가 확산지역의 통신 복구를 위해 가용 자원을 집중 투입하고 있다.",과기정통부 2차관은 산불 추가 확산지역의 통신 복구를 위해 가용 자원을 집중 투입하고 있다.,neutral
가용 자원,국고 채무 부담행위를 통해 조달할 수 있는 1조 5000억 원까지 포함하면 총 4조 8700억 원의 가용 자원이 있다는 게 민주당의 설명이다.,"민주당의 설명에 따르면, 국고 채무 부담행위를 통해 조달할 수 있는 1조 5000억 원을 포함하여 총 4조 8700억 원의 가용 자원이 있다.",neutral
가용 자원,소방 당국은 날이 밝는 대로 가용 자원을 모두 동원해 주불을 잡는다는 계획입니다.,소방 당국은 날이 밝는 대로 가용 자원을 모두 동원해 주불을 잡는다는 계획입니다.,neutral
가용 자원,"오 군수는 ""전 공무원 동원령을 내리고 가용 자원을 모두 투입했지만 역부족""이라며 ""이제는 군민들의 도움이 절실하고 안전이 확보된다면 잔불 정리, 이웃 돌봄 등 어떤 역할이든 큰 힘이 된다""고 강조했다.",오 군수는 가용 자원을 모두 투입했지만 역부족이라며 군민들의 도움이 절실하다고 강조했다.,neutral
가용 자원,"윤석열 대통령은 ""우리 정부의 재난 대응 가용 자원을 총동원해서 인명 피해 최소화를 위해 철저히 대응할 것""을 지시했다.",윤석열 대통령은 우리 정부의 재난 대응 가용 자원을 총동원해서 인명 피해 최소화를 위해 철저히 대응할 것을 지시했다.,neutral
가용자원,"이날 경북북부지사의 재난 대응체계 점검과 현장 직원 격려에 나선 남화영 전기안전공사 사장은 ""피해복구가 신속히 이뤄질 수 있도록 공사의 가용자원을 총동원할 것""이라며 ""피해 주민을 위해 지속적인 지원 방안을 논의할 것""이라고 말했다.",남화영 전기안전공사 사장은 피해복구가 신속히 이뤄질 수 있도록 공사의 가용자원을 총동원할 것이라고 말했다.,positive
가용자원,"배광식 북구청장은 애도문을 통해 ""순직하신 정궁호 조종사의 명복을 빌며 지역사회 애도의 뜻을 모아 고인의 희생을 추모하겠다""며 ""가용자원을 집중해 산불 발생을 원천 차단하고 안전사고 예방에 최선을 다하겠다""고 밝혔다.",배광식 북구청장은 가용자원을 집중해 산불 발생을 원천 차단하고 안전사고 예방에 최선을 다하겠다고 밝혔다.,neutral
가용자원,"이 착륙 관제, 진화 임무 요원 대상 급식 숙박 차량 의무 지원 등 진화 작전에 필요한 모든 분야에 대해 가용자원을 총동원했다.","이 착륙 관제, 진화 임무 요원 대상 급식 숙박 차량 의무 지원 등 진화 작전에 필요한 모든 분야에 대해 가용자원을 총동원했다.",neutral
가용자원,"이날 경북북부지사의 재난 대응체계 점검과 현장 직원 격려에 나선 남화영 사장은 ""피해 복구가 신속히 이뤄질 수 있도록 공사의 가용자원을 총동원할 것""이라며 ""피해 주민을 위해 지속적인 지원 방안을 논의하겠다""고 말했다.",남화영 사장은 피해 복구가 신속히 이뤄질 수 있도록 공사의 가용자원을 총동원할 것이라고 말했다.,positive
가용자원,당국은 기상 상황에 대응하며 가용자원을 불길이 넘어온 지점에 총동원하고 추가 피해를 막겠다는 계획입니다.,당국은 기상 상황에 대응하며 가용자원을 불길이 넘어온 지점에 총동원하고 추가 피해를 막겠다는 계획입니다.,positive
가용자원,시는 산불 피해 범위가 광범위한 만큼 이재민 지원과 복구에 필요한 인력과 장비가 많을 것으로 보고 즉시 지원할 수 있는 가용자원을 미리 확보해 요청이 있는 곳에 신속하게 지원한다는 방침이다.,시는 산불 피해 복구를 위해 즉시 지원할 수 있는 가용자원을 미리 확보해 신속하게 지원한다는 방침이다.,neutral
가용자원,"경남도, 산림청, 소방청, 경찰청, 군부대, 기상청 등 가용자원을 동원해 인력 1527명, 장비 234대를 투입해 진화 작업에 총력전을 벌이고 있다.","경남도, 산림청, 소방청, 경찰청, 군부대, 기상청 등 가용자원을 동원해 인력 1527명, 장비 234대를 투입해 진화 작업에 총력전을 벌이고 있다.",neutral
가용자원,현재 군은 산불 예방에 가용자원을 모두 투입하고 행정력을 총동원하며 대응 체계를 가동하고 있다.,현재 군은 산불 예방에 가용자원을 모두 투입하고 행정력을 총동원하며 대응 체계를 가동하고 있다.,positive
가용자원,"안 의원은 ""가용자원은 적게 봐서 4조8000억원이다. 크게 보면 6조4000억원까지 (재난 대응 예산)""이라며 ""적게 본다는 건 재해대책비로 용도가 확정된 것에 한한 예산이고, 다른 용도지만 당겨쓸 수 있는 예산이 1조6000조원이 더 있다""고 했다.","안 의원은 가용자원은 적게 봐서 4조8000억원이며, 다른 용도지만 당겨쓸 수 있는 예산이 1조6000조원이 더 있다고 했다.",neutral
가용자원,아울러 시는 즉시 지원할 수 있는 가용자원을 미리 확보해 요청이 있는 곳에 신속히 지원할 예정이다.,아울러 시는 즉시 지원할 수 있는 가용자원을 미리 확보해 요청이 있는 곳에 신속히 지원할 예정이다.,neutral
가용자원,영덕군의 산불 진화율은 기대했던 강우량이 4㎜ 이내로 매우 적었음에도 가용자원을 총동원한 진화 작전을 통해 삼림청 추산 전날 10%에서 28일 오전 8시 기준 65%로 호조를 띠고 있다.,영덕군의 산불 진화율은 가용자원을 총동원한 진화 작전 덕분에 전날 10%에서 65%로 호조를 띠고 있다.,positive
가용자원,"김 사장은 ""산불 피해 주민들이 빠르게 일상을 회복할 수 있도록 전력설비 손상 여부를 점검하고, 가용자원을 최대한 활용해 신속하게 복구할 계획""이라고 강조했다.",김 사장은 산불 피해 주민들이 빠르게 일상을 회복할 수 있도록 가용자원을 최대한 활용해 신속하게 복구할 계획이라고 강조했다.,positive
가용자원,아울러 가용자원을 최대한 활용해 추가 지원을 적극적으로 검토할 계획이다.,아울러 가용자원을 최대한 활용해 추가 지원을 적극적으로 검토할 계획이다.,neutral
