original_sentence,processed_sentence,term
"상상펀드는 지난 2011년 출범한 KT G의 사회공헌기금으로, 임직원들이 매월 급여의 일정 금액을 자발적으로 기부하면 회사에서 금액을 더하는 매칭 그랜트 형태로 조성되고 있다.","상상펀드 지난 2011년 출범한 KT G 사회공헌기금, 임직원들 매월 급여 일정 금액 자발적 기부하면 회사 금액 더하는 매칭 그랜트 형태 조성되고 있다.",매칭 그랜트
하늘에는 여전히 붉고 탁한 공기로 가득합니다.,하늘 여전히 붉고 탁한 공기 가득합니다.,공기
도시 어느 곳을 가도 산불 때문에 생긴 매캐한 연기가 가득해 숨을 쉬기 어려울 정도다.,도시 어느 곳 가도 산불 때문 생긴 매캐한 연기가 득해 숨 쉬기 어려울 정도다.,가도
공기가 도시 밖으로 잘 빠져나가지 않는 대표적인 분지 지형인 안동은 최악의 대기오염 수치를 보여주고 있다.,공기 도시 밖 잘 빠져나가지 않는 대표적인 분지 지형인 안동 최악 대기오염 수치 보여주고 있다.,공기
"대형산불 모니터링 정확도를 높여 산불진화 전략 수립, 주민대피 동선 계획 등 산불재난 대응에 효과적으로 활용될 수 있을 것으로 기대를 모은다.","대형산불 모니터링 정확도 높여 산불진화 전략 수립, 주민대피 동선 계획 등 산불재난 대응 효과적 활용될 수 있을 것 기대 모은다.",모니터링
"카카오의 사회공헌 플랫폼 '카카오같이가치'가 경남과 경북, 울산 등지에서 발생한 대형 산불 피해 복구 지원을 위해 운영 중인 긴급 모금 캠페인에 120만 명이 넘는 이용자가 동참하고 현재까지  50억 원 이상의 기부금이 모였다.","카카오 사회공헌 플랫폼 '카카오가치' 경남 경북, 울산 등지 발생한 대형 산불 피해 복구 지원 위해 운영 중인 긴급 모금 캠페인 120만 명이 넘는 용자 동참하고 현재  50억 원 이상 기부금 모였다.",플랫폼
"한편, 카카오는 지난 2007년 12월부터 누구나 모금과 기부에 참여할 수 있는 사회공헌 플랫폼 '카카오같이가치'를 운영하고 있다.","한편, 카카오 지난 2007년 12월 누구 모금 기부 참여할 수 있는 사회공헌 플랫폼 '카카오가치' 운영하고 있다.",플랫폼
"는 배달 플랫폼을 통해 '아무 편의점이나 선결제하고 필요한 분께 나눠줄 수 있냐'고 물었고, 이에 편의점 주는 '좋은 곳에 잘 나눠드리도록 하겠다'며  요청을 흔쾌히 받아들였다."," 배달 플랫폼 통해 '아무 편의점 선결제하고 필요한 분 나눠줄 수 있냐'고 물었, 이 편의점 주는 '좋은 곳 잘 나눠드리도록 하겠다'며  요청 흔쾌히 받아들였다.",플랫폼
27일 오전 11시 기준 네이버의 모금 플랫폼 해피빈에 개설된 '소방관과 산불진화대원의 보호장비 지원 등을 위한 모금 사업'의 기부금은 11억 원을 훌쩍 넘어섰다.,27일 오전 11시 기준 네이버 모금 플랫폼 해피빈 개설된 '소방관 산불진화대원 보호장비 지원 등 위한 모금 사업' 기부금 11억 원 훌쩍 넘어섰다.,플랫폼
"피난길 차량 블랙박스 영상도 보내주셨는데, 상당히 위험해보입니다.","피난길 차량 블랙박스 영상 보내주셨는데, 상당히 위험해보입니다.",블랙박스
하지만 실효성에 대한 지적도 적지 않습니다.,하지만 실효성 대한 지적 적지 않습니다.,적지
그동안 포근했던 기온은 27일 밤부터 북서쪽의 찬 공기가 내려오면서 뚝 떨어질 전망이다.,그동안 포근했던 기온 27일 밤 북서쪽 찬 공기 내려오면서 뚝 떨어질 전망이다.,공기
"향후 발생할 수 있는 재난 재해에 맞서 쉘터와 급식소, 구호 물자, 방염 물품, 회복 차량 등 예방 대응을 위한 인프라 구축에도 힘을 보탤 계획이다.","향후 발생할 수 있는 재난 재해 맞서 쉘터 급식소, 구호 물자, 방염 물품, 회복 차량 등 예방 대응 위한 인프라 구축 힘 보탤 계획이다.",인프라
